Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_label,Sample Name,SRA Study
SRR31961476,WGS,263,2780959995,PRJNA1209112,SAMN46207517,Metagenome or environmental,784844396,RASHIDILAB,not applicable,public,"fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316875,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A022_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A022_t1,zr16701_32,SRP556577
SRR31961477,WGS,251,2875156419,PRJNA1209112,SAMN46207516,Metagenome or environmental,830039467,RASHIDILAB,not applicable,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316874,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A021_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A021_t1,zr16701_31,SRP556577
SRR31961478,WGS,236,2088157026,PRJNA1209112,SAMN46207515,Metagenome or environmental,604201504,RASHIDILAB,not applicable,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316873,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A009_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A009_t1,zr16701_30,SRP556577
SRR31961479,WGS,262,3759710911,PRJNA1209112,SAMN46207514,Metagenome or environmental,1055359822,RASHIDILAB,not applicable,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316872,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A001_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A001_t0,zr16701_3,SRP556577
SRR31961480,WGS,250,2716889537,PRJNA1209112,SAMN46207513,Metagenome or environmental,777521273,RASHIDILAB,not applicable,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316871,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A030_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A030_t0,zr16701_29,SRP556577
SRR31961481,WGS,266,2335043776,PRJNA1209112,SAMN46207512,Metagenome or environmental,655743821,RASHIDILAB,not applicable,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316870,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A029_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:28:00Z,1,A029_t0,zr16701_28,SRP556577
SRR31961482,WGS,251,1961869439,PRJNA1209112,SAMN46207511,Metagenome or environmental,558936337,RASHIDILAB,not applicable,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316869,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A001_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:23:00Z,1,A001_t2,zr16701_27,SRP556577
SRR31961483,WGS,249,2406668364,PRJNA1209112,SAMN46207510,Metagenome or environmental,689907053,RASHIDILAB,not applicable,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316868,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A028_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A028_t0,zr16701_26,SRP556577
SRR31961484,WGS,270,2244744860,PRJNA1209112,SAMN46207509,Metagenome or environmental,626878794,RASHIDILAB,not applicable,public,"sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316867,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A027_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:23:00Z,1,A027_t0,zr16701_25,SRP556577
SRR31961485,WGS,256,2962525160,PRJNA1209112,SAMN46207482,Metagenome or environmental,955767997,RASHIDILAB,not applicable,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316866,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A003_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A003_t1,zr15702_219,SRP556577
