Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_id_unique,Sample Name,SRA Study,SampleID (run)
SRR15158106,AMPLICON,263,5790348,PRJNA746305,SAMN14139075,Metagenome or environmental,4013372,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465689,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1716B .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1716B,1716B,SRP328310,
SRR15158107,AMPLICON,263,8271258,PRJNA746305,SAMN14139074,Metagenome or environmental,5112864,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465688,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1716A .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1716A,1716A,SRP328310,
SRR15158108,AMPLICON,263,3544307,PRJNA746305,SAMN14138922,Metagenome or environmental,2137813,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465687,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1622C .. TR_N_15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1622C,1622C,SRP328310,
SRR15158109,AMPLICON,261,2959858,PRJNA746305,SAMN14139073,Metagenome or environmental,1798970,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465686,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1713Q .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1713Q,1713Q,SRP328310,
SRR15158110,AMPLICON,261,10286168,PRJNA746305,SAMN14139071,Metagenome or environmental,6089903,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465685,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1713O .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1713O,1713O,SRP328310,
SRR15158111,AMPLICON,263,10586758,PRJNA746305,SAMN14139070,Metagenome or environmental,6378064,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11465684,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1713N .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1713N,1713N,SRP328310,
SRR15158112,AMPLICON,264,12813758,PRJNA746305,SAMN14139069,Metagenome or environmental,7262677,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11465683,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1711N .. TR_C_01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1711N,1711N,SRP328310,
SRR15158113,AMPLICON,263,5691513,PRJNA746305,SAMN14139068,Metagenome or environmental,3606724,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465682,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1711M .. TR_C_01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1711M,1711M,SRP328310,
SRR15158114,AMPLICON,261,16820270,PRJNA746305,SAMN14139067,Metagenome or environmental,10125118,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465681,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1711L .. TR_C_01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1711L,1711L,SRP328310,
SRR15158115,AMPLICON,260,4383971,PRJNA746305,SAMN14139066,Metagenome or environmental,2598912,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465680,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1711K .. TR_C_01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:11:00Z,1,1711K,1711K,SRP328310,
